prkplceNo,prkplceNm,prkplceSe,prkplceType,rdnmadr,lnmadr,prkcmprt,feedingSe,enforceSe,operDay,weekdayOperOpenHhmm,weekdayOperColseHhmm,satOperOperOpenHhmm,satOperCloseHhmm,holidayOperOpenHhmm,holidayCloseOpenHhmm,parkingchrgeInfo,basicTime,basicCharge,addUnitTime,addUnitCharge,dayCmmtktAdjTime,dayCmmtkt,monthCmmtkt,metpay,spcmnt,institutionNm,phoneNumber,latitude,longitude,pwdbsPpkZoneYn,referenceDate,insttCode,insttNm
141-4-000056,김해공항신공항주차장,민영,노외,,부산광역시 강서구 대저2동 2699-1,120,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.17180141,128.9547138,,2026-04-16,3360000,부산광역시 강서구
141-4-000069,고정주차장,민영,노외,,부산광역시 강서구 명지동 1-667,11,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.11349581,128.9324486,,2026-04-16,3360000,부산광역시 강서구
141-4-000070,진목주차장,민영,노외,,부산광역시 강서구 명지동 3183-8,176,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.11410649,128.9272681,,2026-04-16,3360000,부산광역시 강서구
141-2-000071,행복마을 공영주차장,공영,노외,,부산광역시 강서구 명지동 3254-7,25,4,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,무료,10,,,,,,,,,부산광역시 강서구청,,35.08660982,128.9103818,,2026-04-16,3360000,부산광역시 강서구
141-4-000057,강동주차장,민영,노외,,"부산광역시 강서구 대저2동 3134-1, 2108-1, 2107-1",118,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.1736422,128.9526045,,2026-04-16,3360000,부산광역시 강서구
141-4-000036,동원주차장,민영,노외,,부산광역시 강서구 대저2동 2081-5,61,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.17922061,128.9534181,,2026-04-16,3360000,부산광역시 강서구
141-4-000037,동원주차장,민영,노외,부산광역시 강서구 공항앞길33번길 12,부산광역시 강서구 대저2동 2081-5,61,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.17922889,128.9534256,,2026-04-16,3360000,부산광역시 강서구
141-4-000038,제이엠알주차장,민영,노외,,부산광역시 강서구 대저2동 2093,31,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.17754393,128.9542756,,2026-04-16,3360000,부산광역시 강서구
141-4-000039,명성주차장,민영,노외,,"부산광역시 강서구 대저2동 2095-2,2094-9",33,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.1767442,128.9540485,,2026-04-16,3360000,부산광역시 강서구
141-4-000040,유카주차장,민영,노외,,부산광역시 강서구 대저2동 2157,10,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.17771616,128.9507204,,2026-04-16,3360000,부산광역시 강서구
141-4-000041,유니티주차장,민영,노외,,"부산광역시 강서구 대저2동 2160,2160-2,2160-3",102,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.17718321,128.9504343,,2026-04-16,3360000,부산광역시 강서구
141-4-000042,김해주차장,민영,노외,,부산광역시 강서구 대저2동 2160-2,22,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.17731536,128.9508008,,2026-04-16,3360000,부산광역시 강서구
141-4-000043,김해주차장,민영,노외,부산광역시 강서구 공항앞길 126,부산광역시 강서구 대저2동 2162-3,22,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.17656233,128.9504326,,2026-04-16,3360000,부산광역시 강서구
141-4-000066,명지주차장,민영,노외,,부산광역시 강서구 명지동 1-377,50,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.11283525,128.9321176,,2026-04-16,3360000,부산광역시 강서구
141-1-000067,명지IC공영주차장,공영,노상,,부산광역시 강서구 명지동 1-395,36,4,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.11187367,128.9315465,,2026-04-16,3360000,부산광역시 강서구
141-4-000068,신포주차장,민영,노외,,부산광역시 강서구 명지동 1-658,15,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.11324409,128.9325711,,2026-04-16,3360000,부산광역시 강서구
141-4-000091,오복미역 전용 주차장,민영,노외,,부산광역시 강서구 화전동 555-1,19,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.11220095,128.8805326,,2026-04-16,3360000,부산광역시 강서구
141-1-000072,오션시티중앙상가공영주차장,공영,노상,,부산광역시 강서구 명지동 3282,71,2,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,무료,10,,,,,,,,,부산광역시 강서구청,,35.08431799,128.9035948,,2026-04-16,3360000,부산광역시 강서구
141-4-000058,강동K주차장,민영,노외,,"부산광역시 강서구 대저2동 3134-1,2108-1,2107-1",118,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.1736422,128.9526045,,2026-04-16,3360000,부산광역시 강서구
141-2-000059,유통단지1로40번길공영주차장,공영,노외,,부산광역시 강서구 대저2동 3135,58,4,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,무료,10,,,,,,,,,부산광역시 강서구청,,35.17060706,128.9533401,,2026-04-16,3360000,부산광역시 강서구
141-4-000060,부영주차장,민영,노외,,부산광역시 강서구 대저2동 3903,23,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.16180594,128.9549596,,2026-04-16,3360000,부산광역시 강서구
141-4-000061,보성주차장,민영,노외,,부산광역시 강서구 대저2동 3972-1,30,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.15695896,128.9545701,,2026-04-16,3360000,부산광역시 강서구
141-4-000062,부용주차장,민영,노외,,부산광역시 강서구 대저2동 4440,20,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.14918105,128.9508772,,2026-04-16,3360000,부산광역시 강서구
141-4-000063,맥도주차장,민영,노외,,부산광역시 강서구 대저2동 5514,28,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.13924125,128.9382283,,2026-04-16,3360000,부산광역시 강서구
141-2-000064,천성~외양포간도로2공구 공영주차장,공영,노외,,부산광역시 강서구 대항동 산 13-31,60,4,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,무료,10,,,,,,,,,부산광역시 강서구청,,35.00735769,128.8267977,,2026-04-16,3360000,부산광역시 강서구
141-2-000065,명지시장공영주차장,공영,노외,,부산광역시 강서구 명지동 1-377,15,4,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.11283525,128.9321176,,2026-04-16,3360000,부산광역시 강서구
141-2-000080,송정동 공영주차장,공영,노외,,부산광역시 강서구 송정동 1440,69,4,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,무료,10,,,,,,,,,부산광역시 강서구청,,35.10147028,128.8418356,,2026-04-16,3360000,부산광역시 강서구
141-2-000081,녹산산단공영주차장,공영,노외,부산광역시 강서구 녹산산단262로50번길 53,부산광역시 강서구 송정동 1759,144,2,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,무료,10,,,,,,,,,부산광역시 강서구청,,35.0844054,128.840243,,2026-04-16,3360000,부산광역시 강서구
141-4-000082,명진포장주차장,민영,노외,,부산광역시 강서구 식만동 429-3,16,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.21200686,128.9103824,,2026-04-16,3360000,부산광역시 강서구
141-4-000083,녹산종합주차장,민영,노외,,부산광역시 강서구 신호동 186,28,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.09823363,128.8669653,,2026-04-16,3360000,부산광역시 강서구
141-4-000084,신호주차장,민영,노외,,부산광역시 강서구 신호동 186,270,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.09823363,128.866964,,2026-04-16,3360000,부산광역시 강서구
141-4-000085,더메이주차장,민영,노외,,부산광역시 강서구 신호동 215-6,16,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.08719277,128.8793664,,2026-04-16,3360000,부산광역시 강서구
141-4-000086,한국주차장,민영,노외,,부산광역시 강서구 신호동 217-6,30,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.08599078,128.8792745,,2026-04-16,3360000,부산광역시 강서구
141-4-000087,가락주차장,민영,노외,,부산광역시 강서구 죽림동 177,20,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.20344853,128.9019229,,2026-04-16,3360000,부산광역시 강서구
141-4-000088,가락화물주차장,민영,노외,,부산광역시 강서구 죽림동 177,57,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.20344853,128.9019229,,2026-04-16,3360000,부산광역시 강서구
141-4-000089,가락주차장,민영,노외,,부산광역시 강서구 죽림동 931,20,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.19287364,128.9037141,,2026-04-16,3360000,부산광역시 강서구
141-2-000090,지양곡 공영주차장,공영,노외,,부산광역시 강서구 천성동 271-22,99,4,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,무료,10,,,,,,,,,부산광역시 강서구청,,35.02155111,128.8226465,,2026-04-16,3360000,부산광역시 강서구
135-2-000011,온천2동 무료개방 공영주차장,공영,노외,,부산광역시 동래구 온천동 871-8,24,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,10,,,,,,,,,부산광역시 동래구청,051-550-4532,35.2128021,129.0678151,N,2026-04-17,3300000,부산광역시 동래구
141-4-000092,오륙도주차장,민영,노외,,부산광역시 강서구 화전동 556-1,23,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.11165687,128.8811248,,2026-04-16,3360000,부산광역시 강서구
141-4-000073,화인종합주차장,민영,노외,,부산광역시 강서구 명지동 616-93,154,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.1090313,128.9297095,,2026-04-16,3360000,부산광역시 강서구
141-4-000074,화인종합주차장,민영,노외,,부산광역시 강서구 명지동 616-93,154,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.1090313,128.9297095,,2026-04-16,3360000,부산광역시 강서구
141-4-000075,거양주차장,민영,노외,,부산광역시 강서구 명지동 616-97,19,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.10930444,128.9301939,,2026-04-16,3360000,부산광역시 강서구
141-4-000076,준주차장,민영,노외,,부산광역시 강서구 범방동 1883-1,13,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.14885545,128.8822819,,2026-04-16,3360000,부산광역시 강서구
141-4-000077,가락IC주차장,민영,노외,,부산광역시 강서구 봉림동 738-253,39,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.16853592,128.8998195,,2026-04-16,3360000,부산광역시 강서구
141-4-000078,서림주차장,민영,노외,,부산광역시 강서구 생곡동 1531-6,20,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.13531889,128.8859826,,2026-04-16,3360000,부산광역시 강서구
141-4-000079,박부덕씨주차장,민영,노외,,"부산광역시 강서구 송정동 1216-4, -2",22,기타,미시행,평일+토요일+공휴일,09:30,23:59,09:30,23:59,09:30,23:59,유료,10,,,,,,,,,부산광역시 강서구청,,35.10328773,128.8411575,,2026-04-16,3360000,부산광역시 강서구
135-2-000008,명장1동공영주차장,공영,노외,부산광역시 동래구 명장로 77,부산광역시 동래구 명장동 147-23,28,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,200,10,200,4,4700,90000,현금+신용카드,,부산광역시 동래구청,051-550-4532,35.203998,129.1091391,Y,2026-04-17,3300000,부산광역시 동래구
135-2-000009,온천천카페거리공영주차장,공영,노외,,부산광역시 동래구 안락동 243-58,31,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,200,10,200,4,4700,90000,현금+신용카드,,부산광역시 동래구청,051-550-4532,35.1923521,129.1043811,Y,2026-04-17,3300000,부산광역시 동래구
135-2-000010,우장춘로 무료개방 공영주차장,공영,노외,,부산광역시 동래구 온천동 850-77,8,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,10,,,,,,,,,부산광역시 동래구청,051-550-4532,35.212561,129.071804,N,2026-04-17,3300000,부산광역시 동래구
130-2-000002,영주 공영주차장,공영,노외,부산광역시 중구 동영로 58,부산광역시 중구 영주동 462-51,43,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,4,2400,52000,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1108044251,129.0321248088,,2026-04-16,3250000,부산광역시 중구
130-2-000003,용두산 공영주차장,공영,노외,부산광역시 중구 대청로 120,부산광역시 중구 대청동1가 43-1,292,1,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,500,10,500,5,15000,240000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1023198646,129.0326840333,,2026-04-16,3250000,부산광역시 중구
130-2-000004,보수 공영주차장,공영,노외,부산광역시 중구 중구로75번길 25,부산광역시 중구 보수동1가 146-18,34,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,4,2400,52000,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1038331442,129.0279003728,,2026-04-16,3250000,부산광역시 중구
130-2-000005,보수종합시장 공영주차장,공영,노외,부산광역시 중구 보수대로106번길 27,부산광역시 중구 보수동3가 45,10,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,4.5,8000,160000,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1043354534,129.0223137278,,2026-04-16,3250000,부산광역시 중구
130-2-000006,대청 공영주차장,공영,노외,부산광역시 중구 망양로 333,부산광역시 중구 대청동4가 2-119,78,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,4,2400,52000,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1075235601,129.0296274496,,2026-04-16,3250000,부산광역시 중구
130-2-000007,부평 공영주차장,공영,노외,부산광역시 중구 중구로33번길 32,부산광역시 중구 부평동2가 18-2,85,1,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,500,10,500,5,15000,240000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.101103145,129.0261857195,,2026-04-16,3250000,부산광역시 중구
130-2-000008,신창 공영주차장,공영,노외,부산광역시 중구 광복로35번길 35,부산광역시 중구 신창동3가 39,44,1,요일제,평일+토요일+공휴일,08:00,21:00,08:00,21:00,08:00,21:00,유료,10,500,10,500,5,15000,240000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.102542609,129.0286304028,,2026-04-16,3250000,부산광역시 중구
130-2-000009,자갈치 보수복개천 공영주차장,공영,노외,부산광역시 중구 구덕로 93,부산광역시 중구 남포동6가 118,149,1,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,500,10,500,5,15000,240000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.0964384756,129.0260078746,,2026-04-16,3250000,부산광역시 중구
135-2-000012,온천장 무료개방 공영주차장,공영,노외,,부산광역시 동래구 온천동 93-13,36,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,10,,,,,,,,,부산광역시 동래구청,051-550-4532,35.2214111,129.080234,N,2026-04-17,3300000,부산광역시 동래구
135-2-000001,금강공원공영주차장,공영,노외,부산광역시 동래구 우장춘로 192,부산광역시 동래구 온천동 102-10,215,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,200,10,200,4,4700,90000,현금+신용카드,,부산광역시 동래구청,051-550-4532,35.22284239,129.0773246,Y,2026-04-17,3300000,부산광역시 동래구
135-2-000002,사적공원공영주차장,공영,노외,부산광역시 동래구 문화로 62,부산광역시 동래구 명륜동 146,242,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,4,2400,52000,현금+신용카드,,부산광역시 동래구청,051-550-4532,35.21150529,129.0890876,Y,2026-04-17,3300000,부산광역시 동래구
135-2-000003,명장동공영주차장,공영,노외,부산광역시 동래구 시실로 135번길 39,부산광역시 동래구 명장동 538,147,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,4,2400,52000,현금+신용카드,,부산광역시 동래구청,051-550-4532,35.21045213,129.097864,Y,2026-04-17,3300000,부산광역시 동래구
135-2-000004,동래시장공영주차장,공영,노외,부산광역시 동래구 동래로 148번길 13,부산광역시 동래구 복천동 241,36,2,미시행,평일+토요일+공휴일,08:00,20:00,08:00,20:00,08:00,20:00,유료,10,300,10,600,4,8000,,현금+신용카드,,부산광역시 동래구청,051-550-4532,35.20441206,129.0861259,N,2026-04-17,3300000,부산광역시 동래구
135-2-000005,차밭골소규모공영주차장,공영,노외,,부산광역시 동래구 온천동 200-3,12,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,500,10,500,4,15000,,현금+신용카드,,부산광역시 동래구청,051-550-4532,35.216941,129.077940,N,2026-04-17,3300000,부산광역시 동래구
135-2-000006,온천2동공영주차장,공영,노외,,부산광역시 동래구 온천동 754-12,107,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,4,8000,160000,현금+신용카드,,부산광역시 동래구청,051-550-4532,35.2124091,129.0766241,Y,2026-04-17,3300000,부산광역시 동래구
135-2-000007,온천2동제2공영주차장,공영,노외,,부산광역시 동래구 온천동 1853-18,31,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,4,8000,160000,현금+신용카드,,부산광역시 동래구청,051-550-4532,35.2092821,129.070776,Y,2026-04-17,3300000,부산광역시 동래구
130-1-000008,국제회관 옆 공영주차장,공영,노상,부산광역시 중구 대교로 103,부산광역시 중구 중앙동6가 79-9,23,1,요일제,평일,09:00,20:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.0994165808,129.0374693197,,2026-04-16,3250000,부산광역시 중구
130-1-000009,유창빌딩 앞 공영주차장,공영,노상,부산광역시 중구 중앙대로 72,부산광역시 중구 중앙동4가 25-2,20,1,요일제,평일,09:00,20:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1041683503,129.036763411,,2026-04-16,3250000,부산광역시 중구
130-1-000010,신한은행부산금융센터 뒤 공영주차장,공영,노상,부산광역시 중구 해관로 7,부산광역시 중구 동광동1가 2,13,1,요일제,평일,09:00,20:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.0994371904,129.0356153913,,2026-04-16,3250000,부산광역시 중구
130-1-000011,국제시장로 1구간 공영주차장,공영,노상,부산광역시 중구 중구로 32,부산광역시 중구 신창동4가 60-3,29,1,요일제,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1006920785,129.0280522776,,2026-04-16,3250000,부산광역시 중구
130-1-000012,광복로 부평동구간 공영주차장,공영,노상,부산광역시 중구 광복로 13-1,부산광역시 중구 부평동1가 35-3,17,1,요일제,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.0995923209,129.0266477248,,2026-04-16,3250000,부산광역시 중구
130-1-000013,보수복개천 공영주차장,공영,노상,부산광역시 중구 보수대로 42,부산광역시 중구 부평동3가 58-3,24,2,요일제,평일,09:00,20:00,00:00,00:00,00:00,00:00,유료,10,300,10,300,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.100520794,129.0239697786,,2026-04-16,3250000,부산광역시 중구
130-1-000014,자갈치시장 앞 공영주차장,공영,노상,부산광역시 중구 자갈치해안로 52,부산광역시 중구 남포동4가 37-1,26,1,요일제,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,10,500,10,500,,,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.0966137769,129.030583691,,2026-04-16,3250000,부산광역시 중구
130-1-000015,건어물시장 공영주차장,공영,노상,부산광역시 중구 구덕로 19-1,부산광역시 중구 남포동4가 19-4,11,1,요일제,평일+토요일+공휴일,08:00,19:00,08:00,19:00,08:00,19:00,유료,10,500,10,500,,,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.0974068155,129.0333355051,,2026-04-16,3250000,부산광역시 중구
130-1-000016,자갈밭시장 공영주차장,공영,노상,부산광역시 중구 구덕로 19-1,부산광역시 중구 남포동4가 19-4,20,1,요일제,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,10,500,10,500,,,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.0974068155,129.0333355051,,2026-04-16,3250000,부산광역시 중구
130-2-000001,중앙동 공영주차장,공영,노외,부산광역시 중구 대청로135번길 36,부산광역시 중구 중앙동4가 52-3,29,1,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,500,10,500,5,15000,240000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1059011402,129.0352446321,,2026-04-16,3250000,부산광역시 중구
130-1-000005,중앙동 KT 뒤 공영주차장,공영,노상,부산광역시 중구 충장대로5번길 69,부산광역시 중구 중앙동4가 76-7,47,1,요일제,평일,09:00,20:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1113474655,129.0385420534,,2026-04-16,3250000,부산광역시 중구
130-1-000006,부산데파트 뒤 공영주차장,공영,노상,부산광역시 중구 해관로 41-2,부산광역시 중구 중앙동2가 49-31,71,1,요일제,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1026882613,129.0354976554,,2026-04-16,3250000,부산광역시 중구
130-1-000007,부산우체국 뒤 공영주차장,공영,노상,부산광역시 중구 해관로 63-1,부산광역시 중구 중앙동4가 36-9,30,1,요일제,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1045975883,129.035314637,,2026-04-16,3250000,부산광역시 중구
130-2-000010,보수동 오르미 공영주차장,공영,노외,부산광역시 중구 법수길 52,부산광역시 중구 보수동1가 41-45,60,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,4,2400,52000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1061741911,129.0255119326,,2026-04-16,3250000,부산광역시 중구
130-1-000001,중앙동 교보생명 옆 공영주차장,공영,노상,부산광역시 중구 중앙대로116번길 12,부산광역시 중구 중앙동4가 85-1,40,1,요일제,평일,09:00,20:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1074730801,129.037827912,,2026-04-16,3250000,부산광역시 중구
130-1-000002,중부소방서 뒤 공영주차장,공영,노상,부산광역시 중구 중앙대로 130,부산광역시 중구 중앙동4가 82-1,40,1,요일제,평일,09:00,20:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1089871865,129.0374232284,,2026-04-16,3250000,부산광역시 중구
130-1-000003,중앙동 객화차담 밑 공영주차장,공영,노상,부산광역시 중구 충장대로13번길 40,부산광역시 중구 중앙동4가 90-1,68,1,요일제,평일,09:00,20:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,,,,현금,경차 50프로 할인+장애인 차량 50프로 할인,부산광역시 중구청,051-600-4556,35.1076035409,129.0384458237,,2026-04-16,3250000,부산광역시 중구
